iter	Passed	Remaining
0	135	134929
1	135	67749
2	136	45318
3	136	34068
4	137	27321
5	137	22821
6	138	19606
7	138	17193
8	139	15317
9	139	13817
10	140	12590
11	140	11567
12	140	10701
13	141	9959
14	141	9316
15	142	8753
16	142	8257
17	143	7815
18	143	7421
19	144	7067
20	144	6745
21	145	6452
22	145	6185
23	146	5940
24	146	5715
25	147	5507
26	147	5314
27	147	5135
28	148	4968
29	148	4813
30	149	4669
31	149	4533
32	150	4405
33	150	4284
34	151	4170
35	151	4062
36	152	3960
37	152	3864
38	153	3772
39	153	3685
40	154	3602
41	154	3524
42	155	3450
43	155	3378
44	155	3309
45	156	3243
46	156	3181
47	157	3121
48	157	3063
49	158	3007
50	158	2954
51	159	2903
52	159	2853
53	160	2805
54	160	2760
55	161	2715
56	161	2673
57	162	2632
58	162	2592
59	162	2553
60	163	2516
61	163	2479
62	164	2445
63	164	2412
64	165	2379
65	165	2347
66	166	2316
67	166	2283
68	167	2254
69	167	2225
70	167	2198
71	168	2171
72	168	2145
73	169	2119
74	169	2094
75	170	2070
76	170	2047
77	171	2025
78	171	2003
79	172	1981
80	172	1960
81	173	1939
82	173	1919
83	174	1899
84	174	1878
85	174	1859
86	175	1839
87	175	1821
88	176	1803
89	176	1786
90	177	1769
91	177	1753
92	178	1736
93	178	1720
94	179	1705
95	179	1690
96	179	1675
97	180	1660
98	180	1646
99	181	1632
100	181	1618
101	182	1602
102	182	1589
103	182	1576
104	183	1563
105	183	1551
106	184	1540
107	185	1528
108	185	1517
109	186	1506
110	186	1495
111	187	1485
112	187	1474
113	188	1464
114	188	1453
115	189	1442
116	189	1432
117	190	1423
118	190	1412
119	191	1403
120	191	1393
121	192	1384
122	192	1373
123	193	1364
124	193	1355
125	194	1346
126	194	1338
127	194	1328
128	195	1320
129	196	1311
130	196	1303
131	197	1296
132	197	1287
133	198	1279
134	198	1272
135	199	1264
136	199	1257
137	200	1249
138	200	1242
139	201	1234
140	201	1227
141	202	1220
142	202	1214
143	203	1206
144	203	1200
145	203	1193
146	204	1186
147	204	1179
148	205	1173
149	205	1166
150	206	1160
151	206	1154
152	207	1147
153	207	1141
154	208	1135
155	208	1129
156	209	1123
157	209	1117
158	210	1111
159	210	1105
160	211	1100
161	211	1095
162	212	1089
163	212	1084
164	213	1078
165	213	1073
166	214	1068
167	214	1062
168	215	1057
169	215	1052
170	216	1047
171	216	1042
172	216	1037
173	217	1032
174	217	1027
175	218	1022
176	218	1017
177	219	1013
178	219	1008
179	220	1003
180	220	998
181	221	993
182	221	989
183	221	984
184	222	980
185	222	975
186	223	971
187	223	967
188	224	962
189	224	958
190	225	954
191	225	950
192	226	946
193	226	942
